stockid,name,manufacturer,model,serialid,inspection_date,installation_date,service_date,last_results
288,bathtub,beka,k2 invita,0277.33.09,,2010-04-01,2018-04-18,18/04/2017 Full service done by Tom.
289,bathtub,beka,k2,0279.33.09,2016-03-22,2010-04-01,2018-04-18,18/04/17 Full service done by Tom.
290,bathtub,beka,k2 invita,0278.33.09,,2010-04-01,2018-04-18,18/04/17 Full service done by Tom.
291,bathtub,beka,k2,0276.33.09,2016-03-22,2010-04-01,2018-04-18,18/04/17 Full service done by Tom.
294,body drier,,,,,2013-10-15,,collected by Derek Lane - Ignore - no-one has any information on this drier.
295,kitchen,guldmann,flexi sink,30-67850-9,,,2015-01-22,REHABCARE
297,gh1 on 1.72m straight track,guldmann,gh1,200 110 0000,,2012-03-21,2014-02-19,
298,chair,cura seating,cura kinder chair,,,2016-08-24,2017-11-30,"30/11/2017 John Egan delivered chair to Suttons houst - chair is for Dean, Eimer Na Riain is the contact, but she has now left."
300,bed,wi-bo,sentida,,,2014-02-19,2015-02-19,S/N 2013049527 - 2009100164 - 2013057325
301,bed,wi-bo,sentida,2015015196-0001,,2015-07-29,2016-07-29,S/N 2015015196-0001
302,bed,wi-bo,sentida,2015015196-0002,,2015-07-29,2016-07-29,2/8/16  replaced acuator under warranty.
303,bed,wi-bo,sentida 6,20150207030001,,2015-09-02,2016-09-02,2/8/16 replaced actuator under warranty
305,hoist,guldmann,gh2 dc,120001-2332-2008,,2009-11-03,2016-11-24,24/11/2015 Ruiri completed thorough service
308,hoist,guldmann,gh1,79103,,2012-09-09,2018-03-16,"16/3/2017 thorough service carried out by Kyrstoff, cover replaced with a new one"
309,hoist,guldmann,gh1,79111,,2012-09-03,2018-03-16,16/3/2017 thorough service carried out and new emergency button installed
310,hoist,guldmann,gh1,79114,2017-09-23,2012-09-08,2018-03-23,23/3/2017 thorough service carried out by Krystoff and cover replaced
311,hoist,guldmann,gh1,79109,,2012-09-05,2016-12-19,"10/8/16 thorough inspection carried out, new top and bottom covers are broken, need replacing"
314,platform lift,lehner,lehner,,,2015-04-15,2016-04-15,"15/04/15 - Scott and Ian Installed lifting platform -still posing safety hazzard - return visit required, not retracting"
312,hoist,guldmann,gh2,120001-1676-2006,,2006-05-08,2013-10-15,
313,screens,silentia,nightingale,0005-0017/2011,,2010-11-29,2011-03-08,
315,bed,wi-bo,sentida,20150337900001,,2016-01-29,2017-01-29,2/8/16 - Replaced actuator - under warranty
318,hoist,guldmann,gh2-dc,120001-2564-2008,,2008-09-18,2017-08-04,4/8/16 thorough service carried out by Ruiri replaced batteries
319,shower bed,ropox,aqualine,N40-0363,,2009-01-08,2009-01-07,
320,shower bed,ropox,aqualine,N40-0767,,2009-01-08,2009-01-07,
321,shower bed,ropox,aqualine,N40-0764,,2009-01-08,2009-01-07,
325,hoist,guldmann,pontus gh2,120001-4794-2007,,2008-10-23,2018-02-01,1/2/17 thorough service carried out
327,v-amat,spahn reha,vamat,1C8051,,2017-03-08,2018-03-08,8/3/2017 kyrstoff and Tom installed and commissioned unit
328,hoist,guldmann,gh2hd 2+2r,120001-3432-2009,,2010-01-19,2011-01-18,
329,gh1 200-110-0000,guldmann,4m straight track,48243,,2011-08-29,2018-04-24,24/04/2017 full service done by Krzys.
330,changing bench,ropox,vario,40.306277,,2011-08-29,2018-04-24,24/04/17 full service done by Krzys.
331,hoist,guldmann,gh2-dc,120001-3591-2005,,2005-11-08,2016-12-17,Already serviced by ARJO? sevive date moved forward a year
332,hoist,guldmann,gh2-dc,120001-3590-2005,,2005-11-08,2014-12-17,"17/12/14 ian re installed system,2 new battheries with on profile,Agreed with builder that electrician would connect"
333,gh1,guldmann,guldmann,97454,,2013-05-01,2017-11-29,29/11/16  thorough service carried out by krystoff
334,changing bench,beka,mona,133 -1000,,,1900-12-30,
337,erfi system,erfi,,,,2008-04-02,,
336,hoist,guldmann,gh2,151 -1000,,2007-04-20,2008-04-20,
338,hoist,guldmann,gh2,120001-2621-2008,,2008-09-05,2016-07-07,7/7/16 Kristoff carried out full service
342,hoist,guldmann,gl3,136 -1000,,,2007-07-10,
